name,price,socket_type,cooler_length,created_at
BRAVOTEC M4 마블 캡틴아메리카,18970,"115X,1366,AMD4,1500",157.0,2026-05-21 09:29:27.587474
JIUSHARK JF100RS Crystal,19000,"1851,115X,AMD4,2300",131.0,2026-05-21 09:29:27.587474
타무즈 TC45-4 WD,19000,"1851,115X,2066,2011,1366,AMD4,AM2,2500",45.0,2026-05-21 09:29:27.587474
쿨러마스터 HYPER 212 HALO,19140,"1851,115X,AMD4,2050",154.0,2026-05-21 09:29:27.587474
3RSYS Socoool RC260N PWM,19200,"115X,1851,AMD4,2200",127.0,2026-05-21 09:29:27.587474
JONSBO CR-1400 오토 RGB,19206,"1851,115X,AMD4,2300",126.0,2026-05-21 09:29:27.587474
DEEPCOOL UD551 ARGB,19290,"AMD4,1800",71.0,2026-05-21 09:29:27.587474
발키리 AQ125,19500,"115X,1851,AMD4,1800",152.0,2026-05-21 09:29:27.587474
앱코 자이로스 120X4 FRGB,19500,"115X,1851,1366,AMD4,1800",150.0,2026-05-21 09:29:27.587474
쿨러마스터 HYPER 212 SPECTRUM V3 ARGB,19520,"1851,115X,AMD4,1750",152.0,2026-05-21 09:29:27.587474
EVERCOOL EC155C-915BP,19570,"115X,2600",30.0,2026-05-21 09:29:27.587474
EVERCOOL EC1700B(CU)-915BP Slim,19770,2600,31.0,2026-05-21 09:29:27.587474
잘만 CNPS17X,19800,"2066,2011,115X,AM2,AMD4,1500",162.0,2026-05-21 09:29:27.587474
Antec T120 RGB,19800,"115X,1366,AMD4,AM2,1500",82.0,2026-05-21 09:29:27.587474
DEEPCOOL GAMMAXX 200T,19800,"115X,AMD4,AM2,1600",131.0,2026-05-21 09:29:27.587474
JIUSHARK JF120R Emerald ARGB,19900,"115X,1851,AMD4,1800",157.0,2026-05-21 09:29:27.587474
PCCOOLER R4000-I,19900,"1851,115X,1800",150.0,2026-05-21 09:29:27.587474
마이크로닉스 ICEROCK MA-410,19900,"1851,115X,AMD4,2000",158.0,2026-05-21 09:29:27.587474
JIUSHARK JF120R Emerald RGB,19900,"1851,115X,AMD4,1800",157.0,2026-05-21 09:29:27.587474
Antec A30 NEO ARGB,20000,"115X,AMD4,AM2,2000",146.0,2026-05-21 09:29:27.587474
야인컴퓨터 YAIN ZERO YC1900 오토 RGB,20270,"2011,1366,1851,115X,AMD4,AM2,1600",156.0,2026-05-21 09:29:27.587474
ALSEYE Q120S Plus,20430,"2066,1366,115X,2011,AMD4,3000",160.0,2026-05-21 09:29:27.587474
3RSYS Socoool RC370N PWM 램프리,20500,"115X,AMD4,1800",150.0,2026-05-21 09:29:27.587474
DEEPCOOL AG400 G2,20740,"1851,AMD4,2200",154.0,2026-05-21 09:29:27.587474
에디 CY100,20890,"1851,115X,AMD4,2000",148.0,2026-05-21 09:29:27.587474
DEEPCOOL GAMMAXX 300R LED,20900,"115X,1366,AMD4,AM2,1600",135.0,2026-05-21 09:29:27.587474
JIUSHARK JF100RS Crystal ARGB,21000,"115X,1851,AMD4,2300",131.0,2026-05-21 09:29:27.587474
JIUSHARK JF100RS Crystal Auto RGB,21000,"115X,1851,AMD4,2300",131.0,2026-05-21 09:29:27.587474
