name,price,socket_type,memory_type,created_at,bench_score
AMD 라이젠 스레드리퍼 7980X (스톰 픽),6913640,,DDR5,2026-05-21 09:09:51.582418,135642.0
인텔 제온 스케일러블 골드 6252 (캐스케이드레이크),7080200,3647,DDR4,2026-05-21 09:09:51.582418,26797.0
인텔 제온 스케일러블 골드 6348 (아이스레이크),7203480,4189,DDR4,2026-05-21 09:09:51.582418,51843.0
인텔 제온 스케일러블 플래티넘 8360H (쿠퍼레이크),7344940,4189,DDR4,2026-05-21 09:09:51.582418,54078.0
인텔 제온 스케일러블 플래티넘 8353H (쿠퍼레이크),7459000,4189,DDR4,2026-05-21 09:09:51.582418,
인텔 제온 스케일러블 플래티넘 8352Y (아이스레이크),7508160,4189,DDR4,2026-05-21 09:09:51.582418,
인텔 제온 스케일러블 플래티넘 8352V (아이스레이크),7508160,4189,DDR4,2026-05-21 09:09:51.582418,
AMD 라이젠 스레드리퍼 PRO 5995WX (샤갈 프로),7608200,SWRX8,DDR4,2026-05-21 09:09:51.582418,94507.0
AMD 라이젠 스레드리퍼 9980X (시마다 픽),7748760,,DDR5,2026-05-21 09:09:51.582418,143003.0
인텔 제온 스케일러블 플래티넘 8358P (아이스레이크),8433080,4189,DDR4,2026-05-21 09:09:51.582418,54416.0
인텔 제온 스케일러블 플래티넘 8358 (아이스레이크),8487490,4189,DDR4,2026-05-21 09:09:51.582418,54416.0
인텔 제온 스케일러블 플래티넘 8356H (쿠퍼레이크),8584000,4189,DDR4,2026-05-21 09:09:51.582418,
인텔 제온 스케일러블 플래티넘 8352S (아이스레이크),8596300,4189,DDR4,2026-05-21 09:09:51.582418,
인텔 제온 스케일러블 골드 6328HL (쿠퍼레이크),8737760,4189,DDR4,2026-05-21 09:09:51.582418,
인텔 제온 스케일러블 플래티넘 8360Y (아이스레이크),9738850,4189,DDR4,2026-05-21 09:09:51.582418,54078.0
AMD 라이젠 스레드리퍼 PRO 7985WX (스톰 픽),9899290,,DDR5,2026-05-21 09:09:51.582418,131799.0
인텔 제온 스케일러블 플래티넘 8568Y+ (에메랄드 래피드),10141750,,DDR5,2026-05-21 09:09:51.582418,79683.0
AMD 라이젠 스레드리퍼 PRO 9985WX (시마다 픽),12300000,,DDR5,2026-05-21 09:09:51.582418,151377.0
AMD 라이젠 스레드리퍼 PRO 3995WX (캐슬 픽-W),12500000,SWRX8,DDR4,2026-05-21 09:09:51.582418,82556.0
인텔 제온 스케일러블 플래티넘 8360HL (쿠퍼레이크),12731230,4189,DDR4,2026-05-21 09:09:51.582418,54078.0
인텔 제온 스케일러블 플래티넘 8368 (아이스레이크),12731230,4189,DDR4,2026-05-21 09:09:51.582418,46681.0
AMD 라이젠 스레드리퍼 PRO 7995WX (스톰 픽),14142870,,DDR5,2026-05-21 09:09:51.582418,140967.0
인텔 제온 스케일러블 플래티넘 8368Q (아이스레이크),14472250,4189,DDR4,2026-05-21 09:09:51.582418,46681.0
인텔 제온 스케일러블 플래티넘 8380H (쿠퍼레이크),17192600,4189,DDR4,2026-05-21 09:09:51.582418,62318.0
인텔 제온 스케일러블 플래티넘 8280L (캐스케이드레이크),17862900,3647,DDR4,2026-05-21 09:09:51.582418,41609.0
AMD 라이젠 스레드리퍼 PRO 9995WX (시마다 픽),18403950,,DDR5,2026-05-21 09:09:51.582418,173281.0
인텔 제온 스케일러블 플래티넘 8380 (아이스레이크),19042440,4189,DDR4,2026-05-21 09:09:51.582418,62318.0
인텔 제온 스케일러블 플래티넘 8376HL (쿠퍼레이크),20130580,4189,DDR4,2026-05-21 09:09:51.582418,
인텔 제온 스케일러블 플래티넘 8380HL (쿠퍼레이크),21653970,4189,DDR4,2026-05-21 09:09:51.582418,62318.0
AMD 라이젠7-4세대 5700X (버미어),39200000,AMD4,DDR4,2026-05-21 09:09:51.582418,26586.0
