name,price,memory_type,memory_clock,created_at,bench_score
CORSAIR DDR5-5600 CL48 VENGEANCE SODIMM,358780,DDR5,5600,2026-05-22 11:57:25.202677,20.2
Terabyte Ramonster DDR5-4800,359000,DDR5,4800,2026-05-22 11:57:25.202677,18.7
마이크론 Crucial DDR4-3200 CL22 PRO 패키지 대원씨티에스,359390,DDR4,3200,2026-05-22 11:57:25.202677,15.3
CORSAIR 노트북 DDR5-5600 CL48 VENGEANCE,360000,DDR5,5600,2026-05-22 11:57:25.202677,20.2
마이크론 Crucial DDR5-6400 CL38 PRO Overclocking 대원씨티에스,360790,DDR5,6400,2026-05-22 11:57:25.202677,20.3
TeamGroup DDR5-5200 CL42 Elite 서린,363450,DDR5,5200,2026-05-22 11:57:25.202677,19.0
킹스톤 FURY DDR5-6000 CL30 Beast 블랙 코잇,365350,DDR5,6000,2026-05-22 11:57:25.202677,21.1
삼성전자 DDR4-2400 ECC/REG,368800,DDR4,2400,2026-05-22 11:57:25.202677,17.5
V-Color BLACK DDR5-5600 CL46 STANDARD 벌크,369000,DDR5,5600,2026-05-22 11:57:25.202677,20.5
ANACOMDA DDR5-5600 CL46 얼티메이크,370290,DDR5,5600,2026-05-22 11:57:25.202677,20.5
ESSENCORE KLEVV DDR5-6000 CL30 FIT V WHITE AMD 패키지 서린,373930,DDR5,6000,2026-05-22 11:57:25.202677,21.1
ESSENCORE KLEVV DDR5-6000 CL30 FIT V AMD 패키지 서린,373930,DDR5,6000,2026-05-22 11:57:25.202677,21.1
G.SKILL DDR5-6000 CL36 RIPJAWS S5 블랙,374000,DDR5,6000,2026-05-22 11:57:25.202677,20.1
CORSAIR DDR5-6000 CL36 VENGEANCE,374890,DDR5,6000,2026-05-22 11:57:25.202677,20.1
삼성전자 DDR5-6400 CL52 CUDIMM,378710,DDR5,6400,2026-05-22 11:57:25.202677,20.4
킹스톤 FURY DDR5-6000 CL30 Beast 화이트 코잇,379000,DDR5,6000,2026-05-22 11:57:25.202677,21.1
타무즈 DDR4-3200 CL22,382240,DDR4,3200,2026-05-22 11:57:25.202677,15.3
비즈텍 TREAVE 노트북 DDR4-3200 CL22,390310,DDR4,3200,2026-05-22 11:57:25.202677,15.3
비즈텍 TREAVE DDR4-3200 CL22,391490,DDR4,3200,2026-05-22 11:57:25.202677,15.3
AGI DDR4-3600 CL18 TURBOJET UD848 RGB BLACK 서린,395100,DDR4,3600,2026-05-22 11:57:25.202677,18.9
TeamGroup T-Force DDR4-3200 CL16 Delta RGB 화이트 패키지 서린,397120,DDR4,3200,2026-05-22 11:57:25.202677,18.9
삼성전자 DDR5-7200 CL58 CUDIMM,397330,DDR5,7200,2026-05-22 11:57:25.202677,26.0
TeamGroup DDR4-3200 Elite 서린,398990,DDR4,3200,2026-05-22 11:57:25.202677,18.9
TeamGroup T-Force DDR4-3600 CL18 Delta RGB 패키지,401210,DDR4,3600,2026-05-22 11:57:25.202677,18.0
마이크론 Crucial 노트북 DDR4-3200 CL22,409450,DDR4,3200,2026-05-22 11:57:25.202677,15.3
ESSENCORE KLEVV DDR4-3200 CL22 파인인포,411320,DDR4,3200,2026-05-22 11:57:25.202677,15.3
ESSENCORE KLEVV 노트북 DDR4-3200 CL22 파인인포,411500,DDR4,3200,2026-05-22 11:57:25.202677,15.3
TeamGroup T-Force DDR4-3600 CL18 XTREEM ARGB 화이트 패키지 서린,413400,DDR4,3600,2026-05-22 11:57:25.202677,18.0
트랜센드 노트북 DDR4-3200 CL22,416050,DDR4,3200,2026-05-22 11:57:25.202677,15.3
ADATA DDR4-3200 CL22 파인인포,416940,DDR4,3200,2026-05-22 11:57:25.202677,15.3
트랜센드 DDR4-3200 CL22,419980,DDR4,3200,2026-05-22 11:57:25.202677,15.3
마이크론 Crucial DDR4-3200 CL22,422390,DDR4,3200,2026-05-22 11:57:25.202677,15.3
G.SKILL DDR4-3200 CL16 TRIDENT Z ROYAL 실버 패키지,423600,DDR4,3200,2026-05-22 11:57:25.202677,18.9
OLOy DDR4-3600 CL18 BLADE RGB Black 패키지,425990,DDR4,3600,2026-05-22 11:57:25.202677,18.9
킹스톤 FURY DDR5-5200 CL40 Beast,426870,DDR5,5200,2026-05-22 11:57:25.202677,19.1
ADATA DDR5-6000 CL36 LANCER BLADE 화이트 파인인포,428620,DDR5,6000,2026-05-22 11:57:25.202677,20.1
TeamGroup T-CREATE DDR4-3600 CL18 EXPERT OC10L 패키지 서린,429000,DDR4,3600,2026-05-22 11:57:25.202677,18.0
TeamGroup T-Force DDR4-3200 CL16 Delta RGB 패키지,430538,DDR4,3200,2026-05-22 11:57:25.202677,18.9
TeamGroup T-Force DDR4-3200 CL16-20-20 Delta RGB 패키지 서린,433660,DDR4,3200,2026-05-22 11:57:25.202677,20.2
TeamGroup T-Force DDR4-3200 CL16-20-20 Delta RGB 화이트 패키지 서린,433660,DDR4,3200,2026-05-22 11:57:25.202677,20.2
G.SKILL DDR4-3600 CL16 TRIDENT Z ROYAL C 실버 패키지,435000,DDR4,3600,2026-05-22 11:57:25.202677,20.1
G.SKILL DDR4-3600 CL16 TRIDENT Z ROYAL C 골드 패키지,435000,DDR4,3600,2026-05-22 11:57:25.202677,20.1
타무즈 노트북 DDR4-3200 CL22,441130,DDR4,3200,2026-05-22 11:57:25.202677,15.3
TeamGroup T-Force DDR4-3600 CL18 Delta RGB 패키지 서린,444990,DDR4,3600,2026-05-22 11:57:25.202677,18.0
G.SKILL DDR4-3600 CL18 TRIDENT Z ROYAL 실버 패키지,446900,DDR4,3600,2026-05-22 11:57:25.202677,18.0
