name,price,created_at,bench_score
Western Digital WD SN740 M.2 2230 NVMe 해외구매,230690,2026-06-09 00:09:49.019815,32677.0
타무즈 M740 M.2 NVMe 벌크,233500,2026-06-09 00:09:49.019815,32677.0
HIKSEMI E3000 M.2 NVMe,233620,2026-06-09 00:09:49.019815,22048.0
TWSC CUSU CV3500Q M.2 NVMe,235000,2026-06-09 00:09:49.019815,21178.0
TeamGroup GX2,238130,2026-06-09 00:09:49.019815,19358.0
컴이지 KINGDOM New PM M.2 NVMe 벌크,238750,2026-06-09 00:09:49.019815,
삼성전자 PM9A1 M.2 NVMe 중고,239000,2026-06-09 00:09:49.019815,15041.0
트랜센드 SSD220S,239000,2026-06-09 00:09:49.019815,823.0
버바팀 Vi550 S3 SSD 해외구매,240400,2026-06-09 00:09:49.019815,3619.0
타무즈 M740 M.2 NVMe,241000,2026-06-09 00:09:49.019815,32677.0
Apacer AS2280P4X M.2 NVMe,242000,2026-06-09 00:09:49.019815,16653.0
Lexar NM610 PRO M.2 NVMe 해외구매,242190,2026-06-09 00:09:49.019815,21690.0
한창코퍼레이션 WIN M.2 NVMe,245000,2026-06-09 00:09:49.019815,
ADATA Ultimate SU650 파인인포,246490,2026-06-09 00:09:49.019815,4236.0
킹스톤 NV3 M.2 NVMe 병행수입,246980,2026-06-09 00:09:49.019815,28061.0
비즈텍 TREAVE VN200 M.2 NVMe,248120,2026-06-09 00:09:49.019815,33569.0
비즈텍 TREAVE VN200Q M.2 NVMe,249020,2026-06-09 00:09:49.019815,33569.0
HIKSEMI Wave Pro(P) M.2 NVMe,250000,2026-06-09 00:09:49.019815,
한창코퍼레이션 Cloud M.2 NVMe,252000,2026-06-09 00:09:49.019815,
삼성전자 PM991a M.2 NVMe 벌크,252000,2026-06-09 00:09:49.019815,15313.0
Fanxiang S500 Pro M.2 NVMe,252200,2026-06-09 00:09:49.019815,15887.0
MSI SPATIUM M450 V1 M.2 NVMe,254000,2026-06-09 00:09:49.019815,21150.0
ADATA Ultimate SU650 M.2 SATA 파인인포,254000,2026-06-09 00:09:49.019815,4236.0
타무즈 M740Q M.2 NVMe 벌크,254200,2026-06-09 00:09:49.019815,32677.0
키오시아 EXCERIA G2 M.2 NVMe,255000,2026-06-09 00:09:49.019815,15377.0
삼성전자 860 EVO 중고,255750,2026-06-09 00:09:49.019815,1664.0
비즈텍 TREAVE VN250D M.2 NVMe,256700,2026-06-09 00:09:49.019815,16069.0
비트엠 Newsync BITS M.2 NVMe,258380,2026-06-09 00:09:49.019815,
Sandisk SSD PLUS,259430,2026-06-09 00:09:49.019815,
TeamGroup MP33 M.2 NVMe 서린,262000,2026-06-09 00:09:49.019815,11075.0
ESSENCORE KLEVV CRAS C715 M.2 NVMe,262450,2026-06-09 00:09:49.019815,17498.0
GIGABYTE Gen4 4000E M.2 NVMe 피씨디렉트,262940,2026-06-09 00:09:49.019815,134.0
ADATA XPG GAMMIX S60 M.2 NVMe,264720,2026-06-09 00:09:49.019815,2151.0
Lexar NM790 M.2 NVMe,266000,2026-06-09 00:09:49.019815,41511.0
삼성전자 BM9C1 M.2 NVMe 벌크,267190,2026-06-09 00:09:49.019815,11032.0
삼성전자 PM9B1 M.2 NVMe 벌크,269000,2026-06-09 00:09:49.019815,19839.0
COLORFUL CN600 PRO M.2 NVMe 디앤디컴,269000,2026-06-09 00:09:49.019815,19948.0
AGI AI298 M.2 NVMe 서린,269000,2026-06-09 00:09:49.019815,17420.0
TWSC CUSU CV5000 M.2 NVMe,269970,2026-06-09 00:09:49.019815,19816.0
CORSAIR MP600 MINI M.2 2230 NVMe 해외구매,270500,2026-06-09 00:09:49.019815,34402.0
삼성전자 PM981a M.2 NVMe 병행수입,274450,2026-06-09 00:09:49.019815,16993.0
삼성전자 PM981 M.2 NVMe 병행수입,275000,2026-06-09 00:09:49.019815,19539.0
삼성전자 980 M.2 NVMe 중고,275390,2026-06-09 00:09:49.019815,20868.0
HIKSEMI FUTURE Lite M.2 NVMe,275860,2026-06-09 00:09:49.019815,
타무즈 M820 M.2 NVMe,276020,2026-06-09 00:09:49.019815,28335.0
디오테라 ROIPLE Ray M.2 NVMe,277490,2026-06-09 00:09:49.019815,
GIGABYTE Gen4 4000E M.2 NVMe 제이씨현,278410,2026-06-09 00:09:49.019815,134.0
Sabrent Rocket M.2 2230 NVMe 해외구매,283400,2026-06-09 00:09:49.019815,20074.0
ESSENCORE KLEVV CRAS C925G M.2 NVMe,284200,2026-06-09 00:09:49.019815,38653.0
마이크론 Crucial BX500 대원씨티에스,284990,2026-06-09 00:09:49.019815,3973.0
ADATA LEGEND 710 M.2 NVMe 파인인포,288530,2026-06-09 00:09:49.019815,17024.0
ADATA LEGEND 710 M.2 NVMe,288960,2026-06-09 00:09:49.019815,17024.0
타무즈 GKM330 M.2 2242 SATA,288990,2026-06-09 00:09:49.019815,3083.0
화웨이 eKitStor Xtreme 200E M.2 NVMe,289000,2026-06-09 00:09:49.019815,33569.0
Western Digital WD SN5000S M.2 NVMe 벌크,289570,2026-06-09 00:09:49.019815,37712.0
GIGABYTE AORUS Gen4 7000E M.2 NVMe 제이씨현,294860,2026-06-09 00:09:49.019815,45896.0
Fanxiang S102 Pro 병행수입,295000,2026-06-09 00:09:49.019815,3485.0
삼성전자 860 PRO 중고,296800,2026-06-09 00:09:49.019815,4891.0
마이크론 Crucial 2500 M.2 NVMe 벌크,298910,2026-06-09 00:09:49.019815,44173.0
ESSENCORE KLEVV CRAS C925 M.2 NVMe,299000,2026-06-09 00:09:49.019815,44224.0
Lexar NS100,299900,2026-06-09 00:09:49.019815,3752.0
Western Digital WD Blue SN550 M.2 NVMe,299900,2026-06-09 00:09:49.019815,3545.0
Western Digital WD Blue 3D M.2 SATA,300000,2026-06-09 00:09:49.019815,3322.0
Seagate 바라쿠다 PCIe M.2 NVMe,303030,2026-06-09 00:09:49.019815,
삼성전자 PM9C1 M.2 NVMe 벌크,308890,2026-06-09 00:09:49.019815,11032.0
BIWIN M100,309000,2026-06-09 00:09:49.019815,16780.0
Western Digital WD BLACK SN750 M.2 NVMe,310000,2026-06-09 00:09:49.019815,13747.0
SK하이닉스 BC711 M.2 NVMe 병행수입,312950,2026-06-09 00:09:49.019815,10318.0
SK하이닉스 PC801 M.2 NVMe 벌크,317540,2026-06-09 00:09:49.019815,21289.0
쏘 Drive M.2 NVMe,319800,2026-06-09 00:09:49.019815,
SK하이닉스 Platinum P41 M.2 NVMe 중고,321990,2026-06-09 00:09:49.019815,41570.0
ADATA Ultimate SU800,323830,2026-06-09 00:09:49.019815,2171.0
트랜센드 MSA230S mSATA,324880,2026-06-09 00:09:49.019815,3743.0
AGI AI838 M.2 NVMe,325000,2026-06-09 00:09:49.019815,
삼성전자 PM961 M.2 NVMe 중고,326000,2026-06-09 00:09:49.019815,7429.0
Western Digital WD BLACK SN850X M.2 NVMe 병행수입,326650,2026-06-09 00:09:49.019815,31330.0
삼성전자 PM9C1b M.2 NVMe 벌크,329000,2026-06-09 00:09:49.019815,43530.0
삼성전자 PM991 M.2 NVMe 벌크,330000,2026-06-09 00:09:49.019815,11608.0
삼성전자 PM9A1a M.2 NVMe 벌크,333040,2026-06-09 00:09:49.019815,11032.0
삼성전자 PM9C1b M.2 NVMe 병행수입,335000,2026-06-09 00:09:49.019815,43530.0
Western Digital WD GREEN M.2 SATA,340000,2026-06-09 00:09:49.019815,
PATRIOT P400 Lite M.2 NVMe,349000,2026-06-09 00:09:49.019815,25655.0
타무즈 RXK550 벌크,349590,2026-06-09 00:09:49.019815,3545.0
TWSC CUSU C300,349990,2026-06-09 00:09:49.019815,3623.0
Sabrent Rocket Q4 M.2 2230 NVMe 해외구매,351000,2026-06-09 00:09:49.019815,15463.0
삼성전자 990 EVO Plus M.2 NVMe 벌크,352840,2026-06-09 00:09:49.019815,39178.0
마이크론 Crucial E100 M.2 NVMe 대원씨티에스,357000,2026-06-09 00:09:49.019815,32654.0
HP EX950 M.2 NVMe 해외구매,358900,2026-06-09 00:09:49.019815,17672.0
AGI AI828 M.2 NVMe,359000,2026-06-09 00:09:49.019815,33309.0
에이서 프레데터 GM7000 M.2 NVMe,359000,2026-06-09 00:09:49.019815,9852.0
키오시아 EXCERIA PRO M.2 NVMe,359000,2026-06-09 00:09:49.019815,
GIGABYTE AORUS Gen4 7300 V2 M.2 NVMe 제이씨현,360000,2026-06-09 00:09:49.019815,48037.0
엠씨케이글로벌 OUTTON MK-500 LITE SSD,367000,2026-06-09 00:09:49.019815,3330.0
마이크론 Crucial E100 M.2 NVMe 아스크텍,367990,2026-06-09 00:09:49.019815,32654.0
Western Digital WD BLACK SN850 M.2 NVMe,372000,2026-06-09 00:09:49.019815,31330.0
Western Digital WD Green SN350 M.2 NVMe,376340,2026-06-09 00:09:49.019815,16954.0
삼성전자 980 M.2 NVMe,377690,2026-06-09 00:09:49.019815,20868.0
Western Digital WD Green SN3000 M.2 NVMe,378320,2026-06-09 00:09:49.019815,30187.0
마이크론 Crucial P3 Plus M.2 NVMe 아스크텍,378990,2026-06-09 00:09:49.019815,30988.0
CORSAIR MP700 PRO M.2 NVMe,382600,2026-06-09 00:09:49.019815,61280.0
Western Digital WD Blue SA510 M.2 SATA,387000,2026-06-09 00:09:49.019815,1674.0
솔리다임 P41 PLUS M.2 NVMe 해외구매,389000,2026-06-09 00:09:49.019815,41570.0
Western Digital WD Blue SN580 M.2 NVMe 중고,389000,2026-06-09 00:09:49.019815,2128.0
삼성전자 980 M.2 NVMe 병행수입,391510,2026-06-09 00:09:49.019815,20868.0
BIWIN Black Opal NV3500 M.2 NVMe,393290,2026-06-09 00:09:49.019815,4597.0
TWSC CUSU CV3500 M.2 NVMe,395000,2026-06-09 00:09:49.019815,22421.0
마이크론 Crucial P310 M.2 NVMe 중고,395550,2026-06-09 00:09:49.019815,14622.0
Lexar PLAY X M.2 2230 NVMe,398990,2026-06-09 00:09:49.019815,20074.0
AGI AI858 M.2 NVMe,399000,2026-06-09 00:09:49.019815,
키오시아 EXCERIA PLUS G4 M.2 NVMe 해외구매,399700,2026-06-09 00:09:49.019815,60505.0
삼성전자 PM9E1 M.2 NVMe 벌크,400000,2026-06-09 00:09:49.019815,11032.0
삼성전자 960 PRO M.2 NVMe 중고,400000,2026-06-09 00:09:49.019815,18814.0
마이크론 Crucial P310 M.2 NVMe 대원씨티에스,403000,2026-06-09 00:09:49.019815,14622.0
GUDGA GXF M.2 NVMe,405000,2026-06-09 00:09:49.019815,
TeamGroup AX2 해외구매,407660,2026-06-09 00:09:49.019815,19358.0
MSI SPATIUM M560 M.2 NVMe,407770,2026-06-09 00:09:49.019815,59353.0
인텔 SOLIDIGM 670p M.2 NVMe,410130,2026-06-09 00:09:49.019815,20346.0
PATRIOT P220 QLC,414000,2026-06-09 00:09:49.019815,2713.0
