name,price,socket_type,memory_type,pcie_type,size,memory_clock,created_at
ASRock B650M PG Lightning 에즈윈,118890,AM5,DDR5,PCIE4.0X16,MATX,7200.0,2026-04-20 15:30:38.871935
MSI PRO A620M-C EX,118990,AM5,DDR5,PCIE4.0X16,MATX,7800.0,2026-04-20 15:30:38.871935
ASUS PRIME B550M-K ARGB STCOM,119000,AM4,DDR4,PCIE4.0X16,MATX,5100.0,2026-04-20 15:30:38.871935
MSI PRO B650M-P,119100,AM5,DDR5,PCIE4.0X16,MATX,7200.0,2026-04-20 15:30:38.871935
ASUS PRIME H810M-A 코잇,120990,1851,DDR5,PCIE4.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
ASUS H110M-K STCOM,121170,1151,DDR4,,MATX,2133.0,2026-04-20 15:30:38.871935
ASRock B550M Phantom Gaming 4 에즈윈,121260,AM4,DDR4,PCIE4.0X16,MATX,4733.0,2026-04-20 15:30:38.871935
ASRock B760M-HDVP D5 에즈윈 (벌크),121320,1700,DDR5,PCIE5.0X16,MATX,7000.0,2026-04-20 15:30:38.871935
GIGABYTE B760M DS3H GEN5 제이씨현,123000,1700,DDR5,PCIE5.0X16,MATX,7600.0,2026-04-20 15:30:38.871935
MAXSUN 챌린저 H810M 2.5G 디앤디컴,123120,1851,DDR5,PCIE5.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
ASRock B550M Pro RS 에즈윈,123880,AM4,DDR4,PCIE4.0X16,MATX,4733.0,2026-04-20 15:30:38.871935
GIGABYTE B550M AORUS ELITE 피씨디렉트,123980,AM4,DDR4,PCIE4.0X16,MATX,4733.0,2026-04-20 15:30:38.871935
ASUS PRIME H810M-K STCOM,124000,1851,DDR5,PCIE4.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
ASUS PRIME B650M-A II 대원씨티에스,124000,AM5,DDR5,PCIE4.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
ASRock B550M Pro RS 대원씨티에스,124360,AM4,DDR4,PCIE4.0X16,MATX,4733.0,2026-04-20 15:30:38.871935
ASUS PRIME B550M-A 대원씨티에스,124480,AM4,DDR4,PCIE4.0X16,MATX,4800.0,2026-04-20 15:30:38.871935
COLORFUL BATTLE-AX B760M-K V20 D5 STCOM,124550,1700,DDR5,PCIE4.0X16,MATX,7200.0,2026-04-20 15:30:38.871935
ASUS PRIME H810M-A 인텍앤컴퍼니,124860,1851,DDR5,PCIE4.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
COLORFUL BATTLE-AX B760M-D PRO D4 V20 도우정보,124980,1700,DDR4,PCIE4.0X16,MATX,4800.0,2026-04-20 15:30:38.871935
GIGABYTE B550M AORUS ELITE 제이씨현,125000,AM4,DDR4,PCIE4.0X16,MATX,4733.0,2026-04-20 15:30:38.871935
ASRock B760M-X Gen5 에즈윈 (벌크),125090,1700,DDR5,PCIE5.0X16,MATX,7200.0,2026-04-20 15:30:38.871935
ASUS PRIME H810M-A STCOM,127970,1851,DDR5,PCIE4.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
GIGABYTE H810M S2H GEN5 피씨디렉트,127990,1851,DDR5,PCIE5.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
ASUS PRIME B760M-KS 코잇 (벌크),128710,1700,DDR5,PCIE5.0X16,MATX,,2026-04-20 15:30:38.871935
GIGABYTE H810M S2H 피씨디렉트,128750,1851,DDR5,PCIE4.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
MSI PRO B760M-P DDR4,128970,1700,DDR4,PCIE4.0X16,MATX,4800.0,2026-04-20 15:30:38.871935
ASRock H810M-X Gen5 에즈윈,129720,1851,DDR5,PCIE5.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
BIOSTAR B850MT-E PRO 제이씨현,129900,AM5,DDR5,PCIE5.0X16,MATX,8000.0,2026-04-20 15:30:38.871935
GIGABYTE H810M S2H 제이씨현,129920,1851,DDR5,PCIE4.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
