Bench_Name,Score
AMD EPYC 7451,26639
AMD EPYC 7452,45757
AMD EPYC 7453,48453
AMD EPYC 7473X,59280
AMD EPYC 74F3,60666
AMD EPYC 7501,24925
AMD EPYC 7502,52427
AMD EPYC 7502P,51366
AMD EPYC 7513,58869
AMD EPYC 7532,50726
AMD EPYC 7542,45020
AMD EPYC 7543,61463
AMD EPYC 7543P,66590
AMD EPYC 7551,25844
AMD EPYC 7551P,38111
AMD EPYC 7552,57414
AMD EPYC 7571,28574
AMD EPYC 7573X,69432
AMD EPYC 75F3,64505
AMD EPYC 7601,34102
AMD EPYC 7642,58698
AMD EPYC 7643,76259
AMD EPYC 7643P,77307
AMD EPYC 7662,72298
AMD EPYC 7663,81821
AMD EPYC 7702,68811
AMD EPYC 7702P,63021
AMD EPYC 7713,83018
AMD EPYC 7713P,81542
AMD EPYC 7742,69448
AMD EPYC 7763,84440
AMD EPYC 7773X,91340
AMD EPYC 7A23,81296
AMD EPYC 7B12,66044
AMD EPYC 7B13,80079
AMD EPYC 7C13,76392
AMD EPYC 7D12,42285
AMD EPYC 7F32,23253
AMD EPYC 7F52,41202
AMD EPYC 7F72,52840
AMD EPYC 7H12,69633
AMD EPYC 7J13,84786
AMD EPYC 7K23,81183
AMD EPYC 7K62,59533
AMD EPYC 7R12,48934
AMD EPYC 7R13,79164
AMD EPYC 7R32,63969
AMD EPYC 7R43,83535
AMD EPYC 7T83,81757
AMD EPYC 7V12,70622
AMD EPYC 7V13,81764
AMD EPYC 7V73X,79738
AMD EPYC 8024P,20427
AMD EPYC 8124P,36079
AMD EPYC 8224P,45421
AMD EPYC 8324P,57127
AMD EPYC 8324PN 32-Core,8375
AMD EPYC 8434P,66490
AMD EPYC 8534P,71900
AMD EPYC 9015,30505
AMD EPYC 9115,48936
AMD EPYC 9124,42982
AMD EPYC 9135,57016
AMD EPYC 9174F,54023
AMD EPYC 9175F,66796
AMD EPYC 9184X,48058
AMD EPYC 9224,48967
AMD EPYC 9254,63540
AMD EPYC 9255,75809
AMD EPYC 9274F,73982
AMD EPYC 9275F,84620
AMD EPYC 9334,65568
AMD EPYC 9335,65811
AMD EPYC 9354,73892
AMD EPYC 9354P,74813
AMD EPYC 9355P,97235
AMD EPYC 9374F,82009
AMD EPYC 9375F,95768
AMD EPYC 9384X,72121
AMD EPYC 9454,87961
AMD EPYC 9454P,94708
AMD EPYC 9455 Emb,111385
AMD EPYC 9455P,116927
AMD EPYC 9474F,102255
AMD EPYC 9475F,122476
AMD EPYC 9534,89492
AMD EPYC 9535,114528
AMD EPYC 9554,102607
AMD EPYC 9554P,104920
AMD EPYC 9555 Emb,133832
AMD EPYC 9555P,135990
AMD EPYC 9565,135221
AMD EPYC 9575F,147998
AMD EPYC 9634,107944
AMD EPYC 9654,119235
AMD EPYC 9654P,117647
AMD EPYC 9655,156110
AMD EPYC 9655P,160490
AMD EPYC 9684X,122017
AMD EPYC 9734,102286
AMD EPYC 9745,130698
AMD EPYC 9754,98450
AMD EPYC 9754 Emb,115016
AMD EPYC 9755,166328
AMD EPYC 9845,152985
AMD EPYC 9965,160542
