name,price,memory_type,memory_clock,created_at
TeamGroup T-Force DDR4-3200 CL16 XTREEM ARGB 패키지,240960,DDR4,3200,2026-04-15 11:20:26.806531
G.SKILL DDR4-3200 CL16 RIPJAWS V VK,244990,DDR4,3200,2026-04-15 11:20:26.806531
G.SKILL DDR4-3200 CL16 RIPJAWS V VKB 패키지,248880,DDR4,3200,2026-04-15 11:20:26.806531
OLOy DDR4-3600 CL18 BLADE RGB Black 패키지 올로코리아,252210,DDR4,3600,2026-04-15 11:20:26.806531
아이티젠 DDR5-5600,269490,DDR5,5600,2026-04-15 11:20:26.806531
삼성전자 DDR4-2666 중고,271270,DDR4,2666,2026-04-15 11:20:26.806531
V-Color DDR4-4000 CL19 PRISM PRO RGB SILVER 패키지,280000,DDR4,4000,2026-04-15 11:20:26.806531
PATRIOT DDR5-5600 CL46 EVO,287710,DDR5,5600,2026-04-15 11:20:26.806531
ANACOMDA DDR5-5600 CL46 디앤디컴,288880,DDR5,5600,2026-04-15 11:20:26.806531
아이티젠 DDR4-2666,289650,DDR4,2666,2026-04-15 11:20:26.806531
Reletech DDR5-5600,293340,DDR5,5600,2026-04-15 11:20:26.806531
타무즈 DDR5-5600 CL40 XMP,294500,DDR5,5600,2026-04-15 11:20:26.806531
아이티젠 DDR4-3200,294760,DDR4,3200,2026-04-15 11:20:26.806531
이메이션 노트북 DDR5-5600 CL46,294870,DDR5,5600,2026-04-15 11:20:26.806531
SK하이닉스 DDR5-5600 병행수입,295140,DDR5,5600,2026-04-15 11:20:26.806531
컴이지 킹덤 DDR5-5600 CL46,295880,DDR5,5600,2026-04-15 11:20:26.806531
PATRIOT DDR5-6000 CL30 SIGNATURE PREMIUM EVO 화이트,297420,DDR5,6000,2026-04-15 11:20:26.806531
PATRIOT DDR5-6000 CL30 SIGNATURE PREMIUM EVO 블랙,297490,DDR5,6000,2026-04-15 11:20:26.806531
삼성전자 DDR4-3200 중고,298000,DDR4,3200,2026-04-15 11:20:26.806531
비트엠 Newsync DDR5 PC5-5600 CL46,298890,DDR5,5600,2026-04-15 11:20:26.806531
ESSENCORE KLEVV DDR5-5600 CL46 NEO 파인인포,299530,DDR5,5600,2026-04-15 11:20:26.806531
이메이션 DDR5-5600 CL46,303040,DDR5,5600,2026-04-15 11:20:26.806531
삼성전자 노트북 DDR5-4800 중고,303240,DDR5,4800,2026-04-15 11:20:26.806531
OSCOO DDR5-5600 CL46 아스크텍,307320,DDR5,5600,2026-04-15 11:20:26.806531
ESSENCORE KLEVV DDR5-5600 CL46 AMD 파인인포,311500,DDR5,5600,2026-04-15 11:20:26.806531
FRIO DDR5-5600 CL46,312400,DDR5,5600,2026-04-15 11:20:26.806531
GeIL DDR5-5600 CL46 PRISTINE V,312890,DDR5,5600,2026-04-15 11:20:26.806531
타무즈 DDR5-5600 CL46 S5,314410,DDR5,5600,2026-04-15 11:20:26.806531
삼성전자 DDR5-5600 중고,315810,DDR5,5600,2026-04-15 11:20:26.806531
삼성전자 DDR4-3200,318000,DDR4,3200,2026-04-15 11:20:26.806531
킹스톤 FURY DDR5-5600 CL40 Beast 블랙 병행수입,318050,DDR5,5600,2026-04-15 11:20:26.806531
삼성전자 노트북 DDR4-2666,318250,DDR4,2666,2026-04-15 11:20:26.806531
마이크론 Crucial DDR5-4800 CL40 패키지,320000,DDR5,4800,2026-04-15 11:20:26.806531
이메이션 DDR4-3200 CL22,320330,DDR4,3200,2026-04-15 11:20:26.806531
ADATA DDR5-5600 CL46 ARMAX 파인인포,320770,DDR5,5600,2026-04-15 11:20:26.806531
KingSpec 노트북 DDR5-5600 CL40,324310,DDR5,5600,2026-04-15 11:20:26.806531
킹스톤 FURY 노트북 DDR5-5600 CL40 병행수입,328080,DDR5,5600,2026-04-15 11:20:26.806531
킹스톤 FURY DDR5-5600 CL46 Beast 블랙 병행수입,328100,DDR5,5600,2026-04-15 11:20:26.806531
에이서 DDR5-4800 CL40 UD200,328890,DDR5,4800,2026-04-15 11:20:26.806531
SK하이닉스 노트북 DDR5-5600 중고,330000,DDR5,5600,2026-04-15 11:20:26.806531
GeIL DDR5-4800 CL40 PRISTINE V,331980,DDR5,4800,2026-04-15 11:20:26.806531
GeIL DDR5-5200 CL42 PRISTINE V,333880,DDR5,5200,2026-04-15 11:20:26.806531
PATRIOT DDR5-6000 CL30 VIPER Elite 5,334650,DDR5,6000,2026-04-15 11:20:26.806531
ADATA DDR5-5600 CL46 LANCER BLADE 블랙 서린,334970,DDR5,5600,2026-04-15 11:20:26.806531
ADATA DDR5-5600 CL46 LANCER BLADE 화이트 서린,334970,DDR5,5600,2026-04-15 11:20:26.806531
