name,price,socket_type,memory_type,created_at
AMD 라이젠7-4세대 5700X3D (버미어),699500,AMD4,DDR4,2026-05-22 11:46:43.170828
AMD 라이젠9-4세대 5900XT (버미어),700000,AMD4,DDR4,2026-05-22 11:46:43.170828
인텔 코어i3-14세대 14100T (랩터레이크 리프레시),700290,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i7-11세대 11700KF (로켓레이크S),705000,1200,DDR4,2026-05-22 11:46:43.170828
인텔 코어X-시리즈 i9-10980XE Extreme Edition (캐스케이드레이크),711160,2066,DDR4,2026-05-22 11:46:43.170828
인텔 제온 E 2224G (커피레이크-R),712000,1151V2,DDR4,2026-05-22 11:46:43.170828
인텔 코어X-시리즈 i7-9800X (스카이레이크),714330,2066,DDR4,2026-05-22 11:46:43.170828
인텔 코어i9-12세대 12900 (엘더레이크),719990,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i9-14세대 14900KF (랩터레이크 리프레시),722130,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어 울트라7 시리즈2 265T (애로우레이크),726680,1851,DDR5,2026-05-22 11:46:43.170828
인텔 코어i9-10세대 10900 (코멧레이크S),726680,1200,DDR4,2026-05-22 11:46:43.170828
인텔 코어i9-9세대 9900 (커피레이크-R),734200,1151V2,DDR4,2026-05-22 11:46:43.170828
AMD 라이젠9-4세대 5950X (버미어),735000,AMD4,DDR4,2026-05-22 11:46:43.170828
인텔 제온 E3-1275V6 (카비레이크),736000,1151,,2026-05-22 11:46:43.170828
AMD 라이젠7-6세대 9850X3D (그래니트 릿지),738780,AMD5,DDR5,2026-05-22 11:46:43.170828
인텔 코어i9-9세대 9900KF (커피레이크-R),738900,1151V2,DDR4,2026-05-22 11:46:43.170828
인텔 제온 스케일러블 실버 4208 (캐스케이드레이크),740000,3647,DDR4,2026-05-22 11:46:43.170828
인텔 코어i7-14세대 14700K (랩터레이크 리프레시),742260,1700,DDR5,2026-05-22 11:46:43.170828
AMD 라이젠7-3세대 3800XT (마티스),744890,AMD4,DDR4,2026-05-22 11:46:43.170828
인텔 코어i9-12세대 12900F (엘더레이크),747600,1700,DDR5,2026-05-22 11:46:43.170828
인텔 제온 E 2176G (커피레이크),749990,1151V2,DDR4,2026-05-22 11:46:43.170828
AMD 라이젠7-4세대 5800X3D (버미어),750000,AMD4,DDR4,2026-05-22 11:46:43.170828
AMD 라이젠9 PRO 7945 (라파엘),751890,AMD5,DDR5,2026-05-22 11:46:43.170828
AMD 라이젠9-5세대 7950X3D (라파엘),752340,AMD5,DDR5,2026-05-22 11:46:43.170828
AMD 라이젠9-4세대 5900X (버미어),759000,AMD4,DDR4,2026-05-22 11:46:43.170828
AMD 라이젠9-6세대 9950X (그래니트 릿지),768990,AMD5,DDR5,2026-05-22 11:46:43.170828
인텔 제온 E5-2630 v4 (브로드웰-EP),770000,2011,DDR4,2026-05-22 11:46:43.170828
인텔 코어i9-9세대 9900K (커피레이크-R),770000,1151V2,DDR4,2026-05-22 11:46:43.170828
AMD 라이젠9-3세대 3900XT (마티스),780200,AMD4,DDR4,2026-05-22 11:46:43.170828
인텔 코어i7-8세대 8086K (커피레이크),795560,1151V2,DDR4,2026-05-22 11:46:43.170828
인텔 코어i9-13세대 13900F (랩터레이크),805000,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i9-12세대 12900K (엘더레이크),819850,1700,DDR5,2026-05-22 11:46:43.170828
AMD 라이젠9-5세대 7900X3D (라파엘),829600,AMD5,DDR5,2026-05-22 11:46:43.170828
AMD EPYC 4584PX (라파엘),832700,AMD5,DDR5,2026-05-22 11:46:43.170828
인텔 코어i9-14세대 14900F (랩터레이크 리프레시),838170,1700,DDR5,2026-05-22 11:46:43.170828
AMD 라이젠9-6세대 9900X3D (그래니트 릿지),843260,AMD5,DDR5,2026-05-22 11:46:43.170828
인텔 코어i9-10세대 10900K (코멧레이크S),850000,1200,DDR4,2026-05-22 11:46:43.170828
인텔 코어i9-14세대 14900 (랩터레이크 리프레시),864990,1700,DDR5,2026-05-22 11:46:43.170828
인텔 제온 스케일러블 실버 4210 (캐스케이드레이크),869990,3647,DDR4,2026-05-22 11:46:43.170828
AMD EPYC 4585PX (그라도),884910,AMD5,DDR5,2026-05-22 11:46:43.170828
인텔 코어X-시리즈 i9-9940X (스카이레이크),890000,2066,DDR4,2026-05-22 11:46:43.170828
인텔 코어 울트라9 시리즈2 285 (애로우레이크),896500,1851,DDR5,2026-05-22 11:46:43.170828
AMD 라이젠 스레드리퍼 PRO 3955WX (캐슬 픽-W),902380,SWRX8,DDR4,2026-05-22 11:46:43.170828
인텔 코어 울트라9 시리즈2 285K (애로우레이크),904300,1851,DDR5,2026-05-22 11:46:43.170828
AMD 라이젠 스레드리퍼 2950X (콜팩스),915510,TR4,DDR4,2026-05-22 11:46:43.170828
AMD 라이젠5-4세대 5600X (버미어),930000,AMD4,DDR4,2026-05-22 11:46:43.170828
인텔 코어i9-13세대 13900KS (랩터레이크),932500,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i7-13세대 13700T (랩터레이크),968120,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i9-13세대 13900T (랩터레이크),968120,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i9-14세대 14900T (랩터레이크 리프레시),972770,1700,DDR5,2026-05-22 11:46:43.170828
인텔 제온 스케일러블 실버 4309Y (아이스레이크),973880,4189,DDR4,2026-05-22 11:46:43.170828
인텔 코어i9-12세대 12900T (엘더레이크),973990,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i7-14세대 14700T (랩터레이크 리프레시),978990,1700,DDR5,2026-05-22 11:46:43.170828
