Bench_Name,Score
Apacer AS2280Q4L 512GB,21491
Apacer AS2280Q4U 1TB,41153
Apacer AS2280Q4U 2TB SSD,48693
Apacer AS2280Q4U 512GB,32189
Apacer AST220 120GB,3941
Apacer AST280 120GB,2746
Apacer AST280 240GB,3354
Apacer AST280 480GB,3781
Apacer AST680S 128GB,811
Apacer AST680S 240GB,2687
Apacer AST680S 480GB,4356
Apacer AST 280 480GB,2197
APACER B93.182JGV.001 256GB,28201
Apacer SM210 M280 512GB,25747
Apacer SM230 25 1TB,3743
Apacer Z280 240G,10187
APM2T80SM21064GFS-BBTMG,1427
APOLLO SSD 1TB,2613
APOTOP SSD S3A 256GB,4250
APOTOP SSD S3C,3094
Apple APPLE SSD AP0128,9465
Apple APPLE SSD AP0256,13058
Apple APPLE SSD AP0512,18187
Apple APPLE SSD AP1024,22276
Apple APPLE SSD AP2048,21186
Apple APPLE SSD AP4096,22939
APPLE HDD HTS541010A9E632,532
APPLE HDD HTS541010A9E662,545
APPLE HDD HTS541075A9E662,475
APPLE HDD HTS541075A9E682,301
APPLE HDD HTS545050A7E362,544
APPLE HDD HTS547575A9E384,402
APPLE HDD HTS727575A9E362,548
APPLE HDD ST500LM012,600
APPLE HDD ST1000DM003,1603
APPLE HDD ST1000LM024,527
APPLE HDD ST3000DM001,997
APPLE HDD TOSHIBA MK7559GSXF,433
APPLE HDD WD10EZES-40UFAA0,1061
APPLE HDD WDC WD10EALX-408EA0,734
APPLE SSD SD0128F,8844
APPLE SSD SD256E,3425
APPLE SSD SD0256F,4960
APPLE SSD SD512E,3524
APPLE SSD SM128C,1398
APPLE SSD SM128E,3239
APPLE SSD SM0128F,3816
APPLE SSD SM0128G,8887
APPLE SSD SM256C,1807
APPLE SSD SM256E,3753
APPLE SSD SM0256F,6291
APPLE SSD SM0256G,11308
APPLE SSD SM0256L,17133
APPLE SSD SM512E,3724
APPLE SSD SM0512F,6952
APPLE SSD SM0512G,12527
APPLE SSD SM0512L,19474
APPLE SSD SM768E,4015
APPLE SSD SM1024F,7926
APPLE SSD SM1024G,12583
APPLE SSD SM1024L,20565
APPLE SSD SM2048L,21434
APPLE SSD TS064C,1165
APPLE SSD TS128A,788
APPLE SSD TS128B,1149
APPLE SSD TS128C,1331
APPLE SSD TS128E,4244
APPLE SSD TS0128F,3141
APPLE SSD TS256B,1316
APPLE SSD TS256C,1340
APPLE SSD TS0256F,3551
APPLE SSD TS512B,1197
APPLE SSD TS512C,1288
APPLE-MOBILEME IODRIVE 640GB MLC,5609
aPrtoi t.M 23P005 21BG,14496
APS-SE20G-1T,22004
APS-SE20G-1TB,21516
APS-SE20G-2T,20133
APS-SE20G-256,12159
APS-SE20G-512,16124
APS-SE20Q-1T,16070
APS-SE20Q-500,8423
APS-SL2-120,1999
APS-SL3N-1T,3023
APS-SL3N-120,2392
APS-SL3N-128,2948
APS-SL3N-240,2806
APS-SL3N-256,2953
APS-SL3N-480,2691
APS-SL3N-512,3770
APSFG-1T-CSUS,41710
APSFG-2T-CSUS,48121
ArchiveSmart SSD 120GB,2452
ARDOR GAMING m.2 NVME 256Gb AL1282,15348
ARDOR GAMING m.2 NVME 512Gb AL1284,18574
Ardor gaming m.2 NVME 512Gb ALG41284,34539
ARDOR GAMING m.2 NVME 1024Gb AL1288,18911
Ardor gaming m.2 NVME 1024Gb ALG41288,40937
Ardor gaming m.2 NVME 2048Gb ALG412816,51395
ARDOR GAMING Rapid RPIG1024-RPG41288,33160
ArmourDrive 128GB,3648
ARRIZO-T10-120GB,3511
ARSDS-1TB,41212
Artisan Tribute-1TB,2429
AS25 120GB,3116
AS25 240GB,2955
AS25 480GB,4071
AS60PRO-1TCS,31428
AS340 120GB,2509
AS Velocity G4T 1TB,31003
AS-1TB,2513
AS-120,2648
AS-128,1836
AS-240,2380
AS-256,2721
AS-480,2573
AS-512,2392
Asboard SSD 240GB,1928
ASE8TNVME256,7262
ASE12NVME512,14677
Asgard AN1TNVMe-M.2/80,10743
Asgard AN2 1TNVMe-M.2/80,12443
Asgard AN2 2TNVMe-M.2/80,21359
Asgard AN2 250NVMe-M.2/80,10000
Asgard AN2 500NVMe-M.2/80,11007
Asgard AN3 1TNVMe-M.2/80,17509
Asgard AN3 500NVMe-M.2/80,16156
Asgard AN3+ 1TNVMe-M.2/80,16015
Asgard AN3+ 512NVMe-M.2/80,15841
Asgard AN3.0 1TNVMe-M.2/80,19004
Asgard AN3.0 512GNVMe-M.2/80,20340
Asgard AN3.0 512NVMe-M.2/80,19098
Asgard AN4 1TNVMe-M.2/80,40767
Asgard AN4 Plus 2TB SSD,46953
Asgard AN4+512GNVMe-M.2/80,34857
Asgard AN4+ 1TNVMe-M.2/80,37563
Asgard AN4.0 1TNVMe-M.2/80,32837
Asgard AN4.0 2TNVMe-M.2/80,39083
Asgard AN256NVMe-M.2/80,8455
Asgard AN512NVMe-M.2/80,10643
Asgard AS512GS3-S7,3517
Asgard V3 1TNVMe-M.2/80,22082
ASint AS606 256GB,3327
ASint AS606 512GB,3400
ASint AS806 1TB,16346
ASint AS806 128GB,7704
ASint AS806 256GB,10558
ASint AS806 512GB,13332
ASint AS828 512GB,39281
Asint SSD 060GB,1584
ASL SSD 120GB,3639
ASL SSD 240GB,2657
ASMT106x V0Safe,4428
ASMT 2115 USB,1028
ASMT ASM236X NVME,10408
ASolid USB USB,419
ASP600S7-256GM-B,2764
Aspeed Nvme SSD,11024
Aspeed NVME SSD1TB,8711
aSsmnu gSS D48 0eSirse,2682
