name,price,recommended_power,pcie_type,gpu_length,created_at
XFX 라데온 RX 9060 XT SWIFT DUAL WHITE OC D6 8GB,533650,450.0,PCIE5.0X16,270.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5060 WINDFORCE MAX OC D7 8GB 제이씨현,534600,450.0,PCIE5.0X16,199.0,2026-04-20 15:27:56.166823
PALIT 지포스 RTX 5060 DUAL OC D7 8GB 이엠텍,535510,,PCIE5.0X16,,2026-04-20 15:27:56.166823
갤럭시 GALAZ 지포스 RTX 5050 BLACK OC V2 D6 8GB DUAL HDMI,536950,550.0,PCIE5.0X16,225.0,2026-04-20 15:27:56.166823
MSI 지포스 RTX 5060 벤투스 2X OC D7 8GB,537530,,PCIE5.0X16,,2026-04-20 15:27:56.166823
갤럭시 GALAX 지포스 RTX 5060 WHITE OC D7 8GB,539970,550.0,PCIE5.0X16,225.0,2026-04-20 15:27:56.166823
갤럭시 GALAX 지포스 RTX 5060 EX BLACK OC D7 8GB,539990,550.0,PCIE5.0X16,255.0,2026-04-20 15:27:56.166823
SAPPHIRE 라데온 RX 9060 PULSE OC D6 8GB,541790,450.0,PCIE5.0X16,200.0,2026-04-20 15:27:56.166823
갤럭시 GALAX 지포스 RTX 5060 BLACK OC D7 8GB,542000,550.0,PCIE5.0X16,225.0,2026-04-20 15:27:56.166823
GIGABYTE 라데온 RX 9060 XT Gaming OC D6 8GB 피씨디렉트,547930,450.0,PCIE5.0X16,281.0,2026-04-20 15:27:56.166823
갤럭시 GALAX 지포스 RTX 5060 WHITE OC V2 D7 8GB,549000,550.0,PCIE5.0X16,225.0,2026-04-20 15:27:56.166823
ASUS DUAL 지포스 RTX 5060 OC D7 8GB 대원씨티에스,550000,550.0,PCIE5.0X16,228.0,2026-04-20 15:27:56.166823
ASUS PRIME 라데온 RX 9060 XT OC D6 8GB 대원씨티에스,550000,550.0,PCIE5.0X16,304.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5060 EAGLE OC ICE D7 8GB 피씨디렉트,550000,550.0,PCIE5.0X16,208.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5060 WINDFORCE OC D7 8GB 피씨디렉트,550000,550.0,PCIE5.0X16,199.0,2026-04-20 15:27:56.166823
COLORFUL 지포스 RTX 5060 GAMING DUO D7 8GB 도우정보,550000,550.0,PCIE5.0X16,200.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5060 UD2 OC D7 8GB Nano LP 제이씨현,551970,450.0,PCIE5.0X16,182.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5060 Ti WINDFORCE D7 8GB 피씨디렉트,555000,650.0,PCIE5.0X16,208.0,2026-04-20 15:27:56.166823
ASRock 라데온 RX 9060 XT 스틸레전드 OC D6 8GB 대원씨티에스,557910,550.0,PCIE5.0X16,298.0,2026-04-20 15:27:56.166823
