Bench_Name,Score
GeForce RTX 4080,34449
GeForce RTX 4080 Laptop GPU,24747
GeForce RTX 4080 SUPER,34264
GeForce RTX 4090,38076
GeForce RTX 4090 D,30969
GeForce RTX 4090 Laptop GPU,27063
GeForce RTX 5050,17125
GeForce RTX 5050 Laptop GPU,14314
GeForce RTX 5060,20776
GeForce RTX 5060 Laptop GPU,16793
GeForce RTX 5060 Ti 8GB,22221
GeForce RTX 5060 Ti 16GB,22632
GeForce RTX 5070,28734
GeForce RTX 5070 Laptop GPU,19163
GeForce RTX 5070 Ti,32421
GeForce RTX 5070 Ti Laptop GPU,22648
GeForce RTX 5080,35694
GeForce RTX 5080 Laptop GPU,26351
GeForce RTX 5090,38951
GeForce RTX 5090 D,41452
GeForce RTX 5090 D v2,32935
GeForce RTX 5090 Laptop GPU,28254
GF117,554
Glenfly Arise-GT-10C0,1007
GRID GTX P40-6,4340
GRID K1,650
GRID K2,2736
GRID K120Q,293
GRID K140Q,727
GRID K160Q,628
GRID K180Q,533
GRID K220Q,912
GRID K240Q,2541
GRID K260Q,2949
GRID K280Q,2839
GRID K520,3516
GRID M6-0B,911
GRID M6-1Q,2069
GRID M6-8Q,3568
GRID M10-0B,870
GRID M10-0Q,795
GRID M10-1B,1503
GRID M10-1Q,2384
GRID M10-2B,1643
GRID M10-2Q,2691
GRID M10-4Q,2936
GRID M10-8Q,2595
GRID M60-0B,1838
GRID M60-0Q,827
GRID M60-1B,2256
GRID M60-1Q,3694
GRID M60-2Q,5203
GRID M60-4A,2450
GRID M60-4Q,3831
GRID M60-8A,5523
GRID M60-8Q,3883
GRID P4-1B,2151
GRID P4-1Q,729
GRID P4-2B4,2753
GRID P4-2Q,3162
GRID P4-4Q,6234
GRID P4-8A,3206
GRID P4-8Q,5283
GRID P6-2Q,3925
GRID P6-4Q,4429
GRID P40-1A,2893
GRID P40-1B,3690
GRID P40-1Q,3839
GRID P40-2B,9842
GRID P40-2B4,6501
GRID P40-2Q,9580
GRID P40-3Q,6569
GRID P40-4Q,5926
GRID P40-8Q,7507
GRID P40-12Q,5540
GRID P40-24Q,7056
GRID P100-1B,2223
GRID P100-8Q,3345
GRID P100-16Q,4625
GRID RTX6000-1B,8473
GRID RTX6000-1Q,12616
GRID RTX6000-6Q,21986
GRID RTX6000P-2B,3343
GRID RTX6000P-6Q,4777
GRID T4-1B,1159
GRID T4-1Q,3302
GRID T4-2B,2730
GRID T4-2Q,3798
GRID T4-4Q,3717
GRID T4-8Q,4753
GRID T4-16Q,4490
GRID V100-8Q,16
GRID V100D-8Q,4155
GT 430,223
ICE DISPLAY WDDM DRIVER,1805
IncrediblE HD,389
IncrediblE HD 4000,517
IncrediblE HD 4600,749
Intel 2nd Generation SandyBridge HD,169
Intel 2nd Generation SandyBridge HD 3000,205
Intel 4th Generation Haswell HD,419
Intel 865 Embedded Controller,3
"Intel 915G,910G Express",4
Intel 915G/915GV/910GL Embedded Controller Functio,4
Intel 945G Embedded Chipset Function 0,4
Intel 946GZ Embedded Chipset,3
Intel 946GZ Express,2
Intel 82845G Controller,2
Intel 82845G/GL Controller,2
Intel 82845G/GL/GE/PE/GV Controller,2
Intel 82852/82855 GM/GME Controller,1
Intel 82865G Controller,4
Intel 82915G Express,5
Intel 82915G/915GV/910GL,3
Intel 82915G/GV/910GL Advanced v3.5,2
Intel 82915G/GV/910GL Express,3
Intel 82945G Express,9
Intel 82945G Express-Chipsatzfamilie,8
Intel - Express Chipset G41,56
Intel - Express Chipset Q45/Q43,57
Intel Arc,5481
Intel Arc 130T GPU,6150
Intel Arc 130V GPU,4499
Intel Arc 140T,5634
Intel Arc 140T GPU,6620
Intel Arc 140V GPU,5136
Intel Arc 140V GPU RI,4848
Intel Arc A310,5461
Intel Arc A310 LP,4889
Intel Arc A370M,5115
Intel Arc A380,6304
Intel Arc A380E,6290
Intel Arc A530M,8044
Intel Arc A580,12041
Intel Arc A730M,9808
Intel Arc A750,12620
Intel Arc A770,13352
Intel Arc A770M,11879
Intel Arc B370 GPU,8105
Intel Arc B390 GPU,8969
Intel Arc B570,14079
Intel Arc B580,15971
Intel Arc GPU,9445
Intel Arc Pro,5816
Intel Arc Pro 130T GPU,6129
Intel Arc Pro 140T GPU,6608
Intel Arc Pro A40/A50,5697
Intel Arc Pro A60,9797
Intel Arc Pro B50,12505
Intel Arc Pro B60,15171
Intel Arc Pro B70,18846
Intel Arc Pro B390 GPU,9594
Intel B43 Express Chipset,138
Intel Coffee Lake UHD,1158
