Bench_Name,Score
Apacer Technology GD2.1527CC.002 8GB,20.5
Apacer Technology GD2.1527CS.001 8GB,19.5
Apacer Technology GD2.1527WC.001 8GB,16.7
Apacer Technology GD2.1527WC.002 8GB,16.5
Apacer Technology GD2.1527WE.001 8GB,17.3
Apacer Technology GD2.1527WH.002 8GB,18.8
Apacer Technology GD2.1527WT.001 8GB,15.5
Apacer Technology GD2.1542WS.001 8GB,17.6
Apacer Technology GD2.1542WS.003 8GB,17.3
Apacer Technology GD2.1542WS.004 8GB,15.8
Apacer Technology GD2.1827CS.003 8GB,19.6
Apacer Technology GD2.1831WS.001 16GB,18.1
Apacer Technology GD2.1831WS.002 16GB,17.4
Apacer Technology GD2.1848WS.002 16GB,17.5
Apacer Technology GD2.2229BH.001 16GB,25.5
Apacer Technology GD2.11173T.001 4GB,12.5
Apacer Technology GD2.22428S.001 8GB,17.9
Apacer Technology GD2.111881.002 4GB,16.6
Aquarius Production Company LLC 16G-D4-2666-MR 4GB,19.8
Asgard VMA41UF-MEC1U2BQ2 4GB,15.7
Asgard VMA41UG-MEC1U2AW1 8GB,14.8
Asgard VMA41UH-MEC1U2AW1 16GB,13.7
Asgard VMA42UG-MEC1U2AW1 8GB,17.7
Asgard VMA42UH-MEC1U2AJ2 16GB,16.4
Asgard VMA44UG-MEC1U2AW1 8GB,17.2
Asgard VMA44UI-MEC1U2AW2 32GB,15.3
Asgard VMA45UG-MEC1U2AW1 8GB,11.8
Asgard VMA45UG-MEC1U2AW2 8GB,15.0
Asgard VMA45UG-MEC1U2BQ2 8GB,17.3
Asgard VMA45UG-MEC1U22T3 8GB,18.8
Asgard VMA45UG-MIC1U22T2 8GB,16.2
Asgard VMA45UH-MEC1U2AW2 16GB,17.7
Asgard VMA47UG-MEC1U22T3 8GB,11.5
Asgard VML41UG-MIC1U22T1 8GB,16.4
Atla Electronics Co. Ltd. AD4SST8GT1WB-FQGE 8GB,12.4
ATP Electronics Inc. A4G08QA8BNPBSE 8GB,11.1
ATP Electronics Inc. X4C16QE8BNRCME-E-LI1 16GB,21.4
Avant Technology J641GU42J5213N0 8GB,14.4
Avant Technology J641GU42J5213ND 8GB,11.3
Avant Technology J641GU42J7240N3 8GB,16.7
Avant Technology J641GU42J7240ND 8GB,15.6
Avant Technology J641GU42J9266ND 8GB,15.9
Avant Technology J641GU42J9266NL 8GB,17.1
Avant Technology J641GU48J5213NG 8GB,14.0
Avant Technology J641GU49J2320NE 8GB,16.7
Avant Technology J642GU42J5213N1 16GB,13.3
Avant Technology J642GU42J5213N2 16GB,14.0
Avant Technology J642GU42J5213N4 16GB,13.7
Avant Technology J642GU42J5213NF 16GB,14.2
Avant Technology J642GU42J7240N2 16GB,14.5
Avant Technology J642GU42J7240N4 16GB,15.1
Avant Technology J642GU42J7240NF 16GB,15.7
Avant Technology J642GU42J9266N2 16GB,16.3
Avant Technology J642GU42J9266N4 16GB,17.4
Avant Technology J642GU42J9266NF 16GB,16.1
Avant Technology J642GU44J2320ND 16GB,16.6
Avant Technology J642GU44J9266NL 16GB,15.0
Avant Technology J644GU44J1293NF 32GB,14.4
Avant Technology J644GU44J2320NF 32GB,17.2
Avant Technology J644GU44J2320NQ 32GB,16.7
Avant Technology J644GU44J9266NF 32GB,15.7
Avant Technology J644GU44J9266NQ 32GB,16.1
Avant Technology W641GU42J5213N3 8GB,13.7
Avant Technology W641GU42J5213NC 8GB,15.9
Avant Technology W641GU42J7240NB 8GB,17.6
Avant Technology W641GU42J7240NC 8GB,14.7
Avant Technology W641GU42J9266NB 8GB,16.2
Avant Technology W641GU42J9266NC 8GB,17.7
Avant Technology W641GU48J5213ND 8GB,16.3
Avant Technology W641GU48J7240ND 8GB,16.6
Avant Technology W641GU67J5213N8 8GB,17.8
Avant Technology W641GU67J7240N8 8GB,14.8
